;school;sex;age;address;Pstatus;Mjob;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;APPROVED;EXTRA
33;GP;M;15;U;T;other;mother;1;2;0;no;yes;2;0;8;10;12;1;1
34;GP;M;16;U;T;other;mother;1;1;0;yes;yes;5;0;12;14;15;1;0
35;GP;F;15;U;T;other;father;2;1;0;no;no;5;0;8;7;6;0;0
36;GP;M;15;U;T;teacher;mother;1;3;0;no;yes;4;2;15;16;18;1;0
37;GP;M;16;R;A;other;mother;2;3;0;no;yes;5;7;15;16;15;1;0
38;GP;F;15;R;T;services;mother;1;3;0;yes;yes;5;2;12;12;11;1;1
39;GP;F;15;R;T;at_home;mother;1;1;0;yes;no;2;8;14;13;13;1;1
40;GP;F;16;U;T;other;mother;2;2;1;no;yes;3;25;7;10;11;0;0
41;GP;M;15;U;T;teacher;other;1;1;0;no;yes;5;8;12;12;12;1;1
42;GP;M;15;U;T;services;father;1;2;0;no;yes;5;2;19;18;18;1;0
43;GP;M;15;U;T;services;father;1;1;0;no;yes;1;0;8;8;11;1;1
44;GP;F;16;U;T;other;father;2;2;1;no;yes;5;14;10;10;9;0;0
45;GP;F;15;U;A;other;mother;1;2;0;yes;yes;5;8;8;8;6;0;0
46;GP;F;16;U;A;other;mother;1;2;0;no;yes;3;12;11;12;11;1;1
47;GP;M;16;U;T;health;mother;1;4;0;no;yes;2;4;19;19;20;1;0
48;GP;M;15;U;T;teacher;mother;1;2;0;yes;no;5;2;15;15;14;1;1
49;GP;F;15;U;T;services;father;1;2;1;no;yes;3;2;7;7;7;0;0
50;GP;F;16;U;T;services;mother;3;2;0;yes;yes;4;2;12;13;13;1;1
51;GP;F;15;U;T;health;mother;1;2;0;yes;yes;5;2;11;13;13;1;1
52;GP;M;15;U;A;health;father;2;1;1;no;no;5;6;11;11;10;1;1
53;GP;F;15;U;T;services;mother;1;1;0;yes;yes;5;0;8;10;11;1;1
54;GP;F;15;U;A;other;mother;1;1;0;yes;yes;1;6;10;13;13;1;1
55;GP;F;16;U;A;other;mother;1;2;0;yes;yes;2;8;8;9;10;1;1
56;GP;F;15;U;A;services;mother;1;2;0;yes;yes;1;0;14;15;15;1;0
57;GP;M;15;U;T;teacher;mother;1;2;0;no;no;5;4;14;15;15;1;0
58;GP;M;15;U;T;other;father;1;2;0;no;yes;5;2;9;10;9;0;0
59;GP;F;16;U;T;services;mother;1;2;0;no;yes;5;2;15;16;16;1;0
60;GP;F;16;R;T;health;mother;1;2;0;no;no;4;6;10;11;11;1;1
61;GP;F;16;U;T;services;father;4;1;0;no;yes;5;6;10;8;11;1;1
62;GP;F;16;U;T;other;father;1;2;0;no;yes;1;4;8;10;9;0;0
63;GP;F;16;U;T;teacher;mother;1;3;0;yes;yes;4;2;10;9;9;0;0
64;GP;F;15;U;T;services;father;1;2;0;no;yes;2;0;10;10;10;1;1
65;GP;F;16;U;T;teacher;mother;3;2;0;no;yes;1;2;16;15;15;1;0
66;GP;M;15;U;A;other;mother;1;4;0;no;yes;3;4;13;13;12;1;1
67;GP;F;16;U;T;services;mother;1;4;0;yes;yes;5;4;7;7;6;0;0
68;GP;F;15;R;T;health;mother;2;2;0;yes;yes;4;2;8;9;8;0;0
69;GP;F;15;R;T;other;father;2;4;0;no;yes;3;12;16;16;16;1;0
70;GP;M;16;U;T;other;father;2;4;0;yes;yes;5;0;13;15;15;1;0
71;GP;M;15;U;T;other;mother;1;4;0;no;yes;3;0;10;10;10;1;1
72;GP;F;15;R;T;other;mother;1;2;2;no;yes;5;2;8;6;5;0;0
73;GP;M;16;U;T;other;mother;1;1;0;no;no;5;2;12;12;14;1;1
74;GP;F;16;U;T;other;mother;1;2;0;yes;yes;5;54;11;12;11;0;0
75;GP;M;15;U;T;teacher;mother;1;2;0;yes;yes;5;6;9;9;10;1;1
76;GP;M;15;U;T;teacher;mother;2;4;0;no;yes;1;8;11;11;10;1;1
77;GP;F;16;U;T;other;mother;1;4;0;yes;yes;3;0;11;11;11;1;1
78;GP;M;17;U;T;other;mother;2;1;3;no;yes;3;2;8;8;10;1;1
79;GP;F;16;U;T;at_home;mother;1;2;0;no;yes;3;12;5;5;5;0;0
80;GP;M;15;U;T;other;father;1;1;0;yes;yes;3;2;10;12;12;1;1
81;GP;M;15;U;T;other;mother;1;3;0;yes;yes;5;4;11;10;11;1;1
82;GP;F;15;U;T;services;mother;1;2;0;yes;yes;5;10;7;6;6;0;0
83;GP;M;15;U;T;services;mother;2;2;0;yes;yes;4;4;15;15;15;1;0
84;GP;F;15;U;T;other;father;1;2;0;no;yes;4;2;9;10;10;1;1
85;GP;F;15;U;T;services;father;2;2;2;yes;yes;5;6;7;9;8;0;0
86;GP;F;16;U;T;at_home;mother;1;2;0;no;no;2;4;8;7;6;0;0
87;GP;F;15;U;T;other;mother;1;3;0;no;yes;1;4;13;14;14;1;1
88;GP;M;16;U;T;services;father;2;2;1;yes;yes;3;12;11;10;10;1;1
89;GP;M;16;U;A;teacher;mother;1;2;0;no;no;5;18;8;6;7;0;0
90;GP;F;16;U;T;other;mother;1;3;0;yes;yes;4;0;7;7;8;0;0
91;GP;F;15;U;T;services;mother;1;1;0;yes;yes;1;4;16;17;18;1;0
92;GP;F;16;U;T;other;father;1;2;0;no;no;2;4;7;6;6;0;0
93;GP;F;16;U;T;teacher;mother;2;2;0;yes;yes;1;0;11;10;10;1;1
94;GP;M;15;U;T;services;mother;1;4;0;no;yes;4;6;11;13;14;1;1
95;GP;F;15;R;T;at_home;mother;2;4;1;yes;yes;1;2;7;10;10;1;1
96;GP;M;16;R;T;services;mother;2;1;0;no;yes;4;2;11;15;15;1;0
97;GP;F;16;U;T;other;mother;1;2;0;yes;no;5;2;8;9;10;1;1
98;GP;F;16;U;T;other;mother;1;1;0;no;yes;1;6;11;14;14;1;1
99;GP;F;16;U;T;other;mother;1;3;0;yes;yes;3;0;7;9;8;0;0
100;GP;M;16;U;T;services;mother;1;1;0;yes;yes;4;14;7;7;5;0;0
101;GP;M;16;U;T;services;father;1;3;0;no;yes;4;0;16;17;17;1;0
102;GP;M;15;U;T;services;mother;1;1;0;no;yes;5;4;10;13;14;1;1
103;GP;F;15;U;T;services;mother;2;2;0;yes;yes;2;26;7;6;6;0;0
104;GP;M;15;U;A;services;mother;1;2;0;yes;yes;1;0;16;18;18;1;0
105;GP;F;15;U;A;other;father;1;4;0;no;no;4;10;10;11;11;1;1
106;GP;F;15;U;T;other;mother;1;4;0;yes;yes;3;8;7;8;8;0;0
107;GP;M;16;U;T;services;father;1;3;0;no;yes;5;2;16;18;18;1;0
108;GP;M;15;R;T;other;father;4;4;0;yes;yes;1;6;10;13;13;1;1
109;GP;F;16;U;T;health;mother;1;3;0;yes;yes;4;4;14;15;16;1;0
110;GP;M;15;U;A;teacher;mother;1;1;0;no;yes;4;6;18;19;19;1;0
111;GP;F;16;R;T;services;father;1;3;1;no;yes;2;0;7;10;10;1;1
112;GP;F;16;U;T;at_home;mother;1;2;1;no;yes;5;6;10;13;13;1;1
113;GP;M;15;U;T;teacher;mother;1;1;0;no;yes;3;10;18;19;19;1;0
114;GP;M;15;R;T;health;mother;1;2;0;no;yes;5;8;9;9;9;0;0
115;GP;M;16;U;T;teacher;father;1;2;0;no;yes;5;2;15;15;16;1;0
116;GP;M;15;U;T;other;father;2;2;0;no;no;2;2;11;13;14;1;1
117;GP;M;16;U;T;other;father;2;1;0;no;yes;5;0;13;14;13;1;1
118;GP;M;17;R;T;other;father;3;2;1;no;yes;5;20;9;7;8;0;0
119;GP;M;15;U;T;other;father;1;1;0;no;yes;4;6;14;13;13;1;1
120;GP;F;15;U;T;at_home;mother;1;2;0;no;yes;1;2;16;15;15;1;0
121;GP;M;15;U;T;services;father;1;4;0;yes;yes;5;6;16;14;15;1;0
122;GP;F;16;U;T;other;father;2;2;0;yes;yes;5;2;13;13;13;1;1
123;GP;M;16;U;T;health;mother;1;1;0;no;yes;5;18;14;11;13;0;0
124;GP;F;16;U;T;other;mother;1;2;0;yes;yes;5;0;8;7;8;0;0
125;GP;M;15;U;T;services;father;1;1;0;no;yes;5;0;13;13;12;1;1
126;GP;F;15;U;A;other;mother;1;2;0;no;yes;1;0;7;10;11;1;1
127;GP;F;19;U;T;at_home;other;1;2;3;no;no;5;2;7;8;9;0;0
128;GP;M;18;R;T;services;mother;1;1;2;no;yes;4;0;7;4;0;0;0
129;GP;M;16;R;T;teacher;mother;1;1;0;yes;yes;4;8;18;18;18;1;0
130;GP;F;15;R;T;services;father;2;3;2;no;yes;5;0;12;0;0;0;0
131;GP;F;15;U;T;at_home;mother;3;1;0;no;yes;4;0;8;0;0;0;0
132;GP;F;17;U;T;other;father;1;1;0;no;yes;5;12;10;13;12;1;1
133;GP;F;16;U;A;services;father;1;1;0;no;yes;5;16;12;11;11;0;0
134;GP;M;15;R;T;at_home;mother;4;2;0;no;no;5;0;9;0;0;0;0
135;GP;F;15;U;T;services;mother;1;3;0;no;yes;5;0;11;0;0;0;0
136;GP;M;17;R;T;at_home;mother;3;2;0;no;no;5;0;10;0;0;0;0
137;GP;F;16;U;A;other;other;2;1;2;no;yes;5;0;4;0;0;0;0
138;GP;M;16;U;T;services;mother;1;2;1;no;no;5;0;14;12;12;1;1
139;GP;F;15;U;T;teacher;mother;2;1;0;no;yes;5;0;16;16;15;1;0
140;GP;M;15;U;T;teacher;father;2;4;0;no;yes;3;0;7;9;0;0;0
141;GP;M;16;U;T;services;father;2;1;2;no;yes;2;8;9;9;9;0;0
142;GP;F;15;U;T;teacher;mother;1;3;0;yes;yes;5;2;9;11;11;1;1
143;GP;F;16;U;T;at_home;mother;1;1;0;no;yes;1;2;14;14;13;1;1
144;GP;M;17;U;T;other;mother;1;1;3;no;yes;5;0;5;0;0;0;0
145;GP;F;15;U;T;other;father;1;2;0;yes;yes;5;0;8;11;11;1;1
146;GP;F;15;U;T;health;father;1;2;3;no;yes;3;0;6;7;0;0;0
147;GP;F;15;U;T;at_home;mother;1;2;0;yes;yes;5;2;10;11;11;1;1
148;GP;M;16;U;T;teacher;mother;1;1;0;no;yes;5;0;7;6;0;0;0
149;GP;M;15;U;A;services;mother;4;1;3;no;yes;5;0;8;9;10;1;1
150;GP;M;18;U;T;other;mother;1;1;3;no;yes;4;0;6;5;0;0;0
151;GP;M;16;U;T;at_home;mother;1;1;1;no;no;5;6;12;13;14;1;1
152;GP;F;15;R;T;services;other;2;3;2;yes;yes;3;8;10;10;10;1;1
153;GP;M;19;U;T;services;mother;1;1;3;no;yes;4;0;5;0;0;0;0
154;GP;F;17;U;T;other;mother;1;1;0;no;no;4;0;11;11;12;1;1
155;GP;M;15;R;T;at_home;mother;1;2;0;yes;no;1;2;11;8;8;0;0
156;GP;M;17;R;T;other;mother;1;1;0;no;no;5;8;16;12;13;1;1
157;GP;F;18;R;T;at_home;mother;3;1;3;no;no;4;6;9;8;10;1;1
158;GP;M;16;R;T;at_home;mother;3;1;0;no;no;3;2;17;15;15;1;0
159;GP;M;16;U;T;other;father;1;2;1;yes;yes;5;4;10;12;12;1;1
160;GP;M;17;R;T;at_home;mother;2;1;2;no;yes;5;0;7;6;0;0;0
161;GP;M;15;R;T;other;mother;2;2;2;no;yes;3;6;5;9;7;0;0
162;GP;M;16;U;T;other;mother;2;1;1;no;no;5;0;7;0;0;0;0
163;GP;M;17;U;T;at_home;father;1;1;0;no;yes;2;2;10;10;10;1;1
164;GP;M;17;R;T;other;mother;4;2;3;no;no;5;0;5;8;7;0;0
165;GP;M;16;U;T;services;mother;2;1;1;no;no;2;16;12;11;12;0;0
166;GP;M;16;U;T;other;father;1;2;0;no;yes;4;4;10;10;10;1;1
167;GP;F;16;U;T;health;father;1;2;0;yes;yes;3;0;14;15;16;1;0
168;GP;F;16;U;T;other;mother;1;2;0;yes;yes;4;0;6;7;0;0;0
169;GP;F;16;U;T;health;mother;1;2;0;yes;yes;3;0;14;14;14;1;1
170;GP;M;16;U;T;other;father;3;1;2;no;yes;2;0;6;5;0;0;0
171;GP;M;16;U;T;other;mother;2;2;0;yes;yes;3;2;13;15;16;1;0
172;GP;M;17;U;T;teacher;mother;1;2;0;yes;yes;5;0;13;11;10;1;1
173;GP;F;16;U;T;at_home;mother;1;2;3;no;yes;3;0;8;7;0;0;0
174;GP;F;16;U;T;other;mother;2;2;0;yes;yes;4;4;10;11;9;0;0
175;GP;M;17;U;T;teacher;mother;2;2;0;yes;yes;4;4;10;9;9;0;0
176;GP;F;16;U;T;services;mother;2;2;0;yes;yes;5;2;13;13;11;1;1
177;GP;M;17;U;T;other;father;1;2;0;no;yes;4;4;6;5;6;0;0
178;GP;M;16;R;T;teacher;mother;1;1;0;no;yes;3;10;10;8;9;0;0
179;GP;M;17;U;T;other;mother;1;2;0;no;yes;2;4;10;10;11;1;1
180;GP;M;16;U;T;teacher;mother;1;2;0;yes;yes;3;10;9;8;8;0;0
181;GP;M;16;U;T;services;mother;1;2;0;yes;yes;3;2;12;13;12;1;1
182;GP;F;17;U;T;services;father;1;2;0;no;no;5;0;16;17;17;1;0
183;GP;F;17;U;T;other;mother;1;2;0;no;yes;1;56;9;9;8;0;0
184;GP;F;16;U;T;other;mother;1;2;0;yes;yes;1;14;12;13;12;1;1
185;GP;M;17;U;T;services;mother;1;2;0;no;yes;4;12;12;12;11;1;1
186;GP;M;16;U;T;services;mother;1;1;0;yes;yes;3;2;11;12;11;1;1
187;GP;M;16;U;T;other;mother;1;2;0;yes;yes;5;0;15;15;15;1;0
188;GP;F;17;U;A;health;mother;1;2;0;no;yes;3;6;8;7;9;0;0
189;GP;M;17;R;T;at_home;mother;1;2;0;no;no;3;4;8;9;10;1;1
190;GP;F;16;U;T;services;mother;1;2;0;no;yes;2;10;11;12;13;1;1
191;GP;F;17;U;T;at_home;mother;1;2;0;no;yes;3;0;8;8;9;0;0
192;GP;M;17;U;T;at_home;other;2;2;0;yes;yes;5;12;7;8;8;0;0
193;GP;M;16;R;T;services;mother;1;1;0;no;yes;5;8;8;9;10;1;1
194;GP;M;16;U;T;other;father;2;1;0;no;yes;3;0;13;14;14;1;1
195;GP;F;17;U;T;services;father;1;2;0;no;yes;5;0;14;15;15;1;0
196;GP;M;17;U;T;services;mother;1;1;0;no;yes;5;4;17;15;16;1;0
197;GP;M;16;R;T;teacher;father;3;1;0;yes;yes;3;8;9;9;10;1;1
198;GP;F;17;U;T;services;mother;2;1;1;no;yes;2;24;18;18;18;0;0
199;GP;F;16;U;T;teacher;mother;1;2;0;yes;yes;3;0;9;9;10;1;1
200;GP;F;16;U;T;health;mother;1;2;0;no;yes;2;2;16;16;16;1;0
201;GP;F;16;U;T;other;mother;1;2;0;yes;no;4;6;8;10;10;1;1
202;GP;F;17;U;T;other;mother;1;2;0;yes;no;1;4;9;9;10;1;1
203;GP;F;17;R;T;other;mother;1;1;0;no;yes;3;18;7;6;6;0;0
204;GP;F;16;R;T;services;mother;2;4;0;yes;yes;5;6;10;10;11;1;1
205;GP;F;17;U;T;at_home;mother;1;3;1;yes;yes;5;28;10;9;9;0;0
206;GP;F;16;U;A;services;mother;1;2;3;yes;yes;4;5;7;7;7;0;0
207;GP;F;16;U;T;teacher;mother;1;2;0;yes;yes;1;10;11;12;13;1;1
208;GP;F;16;U;T;at_home;mother;2;1;0;yes;no;5;6;9;9;10;1;1
209;GP;F;17;R;T;teacher;mother;2;3;0;yes;yes;4;6;7;7;7;0;0
210;GP;F;19;U;T;other;other;1;4;0;yes;yes;3;10;8;8;8;0;0
211;GP;M;17;U;T;services;mother;1;2;0;yes;yes;3;13;12;12;13;1;1
212;GP;F;16;U;A;other;mother;1;2;0;yes;yes;4;0;12;13;14;1;1
213;GP;M;18;U;T;services;mother;1;2;1;yes;yes;5;15;6;7;8;0;0
214;GP;F;17;R;T;services;mother;1;1;0;yes;no;3;12;8;10;10;1;1
215;GP;F;17;U;T;other;mother;2;2;0;yes;yes;1;2;14;15;15;1;0
216;GP;F;17;U;T;other;mother;1;2;2;yes;yes;1;22;6;6;4;0;0
217;GP;M;18;U;T;services;father;1;2;1;yes;yes;4;13;6;6;8;0;0
218;GP;F;17;U;T;at_home;father;2;1;0;yes;no;3;3;7;7;8;0;0
219;GP;F;17;U;T;at_home;mother;1;3;0;yes;yes;4;4;9;10;10;1;1
220;GP;F;17;R;T;at_home;mother;2;2;0;no;yes;5;2;6;6;6;0;0
221;GP;F;17;U;T;at_home;mother;1;3;1;no;no;5;0;6;5;0;0;0
222;GP;F;16;U;T;services;mother;1;2;0;no;yes;3;2;16;16;17;1;0
223;GP;M;18;U;T;other;mother;2;2;0;yes;yes;4;0;12;13;13;1;1
224;GP;F;16;U;T;teacher;mother;1;3;0;no;yes;5;0;13;13;14;1;1
225;GP;F;18;R;T;other;mother;1;2;1;no;yes;4;16;9;8;7;0;0
226;GP;F;17;U;T;other;mother;1;2;0;no;yes;3;10;16;15;15;1;0
227;GP;M;17;U;T;services;father;1;2;0;yes;yes;3;2;12;11;12;1;1
228;GP;M;18;U;T;at_home;mother;4;2;0;yes;yes;3;14;10;8;9;0;0
229;GP;F;17;U;A;other;mother;2;3;0;no;yes;3;10;12;10;12;1;1
230;GP;F;17;U;T;health;father;1;2;0;no;yes;3;14;13;13;14;1;1
231;GP;M;17;R;T;other;father;2;2;0;yes;yes;1;4;11;11;11;1;1
232;GP;M;17;U;T;teacher;mother;1;2;0;no;yes;2;14;11;9;9;0;0
233;GP;M;16;U;T;health;father;1;2;0;yes;yes;1;2;14;13;13;1;1
234;GP;M;16;U;T;other;mother;2;2;0;yes;yes;5;18;9;7;6;0;0
235;GP;M;16;U;T;at_home;mother;2;3;0;no;yes;2;10;11;9;10;1;1
236;GP;M;17;U;T;other;father;1;2;0;yes;yes;4;4;14;13;13;1;1
237;GP;F;16;U;T;other;mother;1;1;0;no;yes;5;20;13;12;12;0;0
238;GP;F;17;R;T;at_home;mother;3;2;0;no;no;3;2;13;11;11;1;1
239;GP;M;18;U;T;other;father;1;2;1;no;yes;2;0;7;7;0;0;0
240;GP;M;17;U;T;health;mother;2;2;0;no;yes;5;14;12;12;12;1;1
241;GP;M;17;R;A;teacher;mother;2;2;0;yes;yes;4;2;10;11;12;1;1
242;GP;M;16;U;T;teacher;mother;1;1;0;no;yes;3;0;6;0;0;0;0
243;GP;M;16;U;T;services;mother;1;1;0;no;yes;5;0;13;12;12;1;1
244;GP;F;18;U;T;other;other;2;3;0;yes;yes;3;0;7;0;0;0;0
245;GP;M;16;U;T;other;mother;3;1;0;no;yes;4;6;18;18;18;1;0
246;GP;M;17;U;T;other;father;2;1;0;no;yes;2;4;12;12;13;1;1
247;GP;M;22;U;T;services;mother;1;1;3;no;yes;1;16;6;8;8;0;0
248;GP;M;18;R;T;other;mother;1;2;1;no;yes;5;8;3;5;5;0;0
249;GP;M;16;U;T;other;mother;1;1;0;yes;yes;5;0;13;15;15;1;0
250;GP;M;18;U;T;services;mother;2;1;1;no;yes;5;0;6;8;8;0;0
251;GP;M;16;U;T;at_home;other;3;2;0;no;yes;2;6;7;10;10;1;1
252;GP;M;18;U;T;services;mother;1;1;1;no;yes;5;4;6;9;8;0;0
253;GP;M;16;R;T;other;mother;2;1;0;no;no;3;0;8;9;8;0;0
254;GP;M;17;R;T;other;mother;1;1;0;no;yes;5;0;8;12;12;1;1
255;GP;M;17;U;T;health;mother;2;1;1;no;yes;5;2;7;9;8;0;0
256;GP;F;17;U;T;teacher;mother;1;4;0;yes;yes;4;6;14;12;13;1;1
257;GP;M;19;U;A;services;mother;1;2;0;no;yes;1;12;11;11;11;1;1
258;GP;M;18;U;T;other;mother;1;2;0;no;yes;4;8;15;14;14;1;1
259;GP;F;17;U;T;services;father;1;4;0;yes;yes;2;0;10;9;0;0;0
260;GP;F;18;U;T;services;father;1;2;0;yes;yes;2;21;17;18;18;0;0
261;GP;M;18;U;T;teacher;mother;1;2;0;yes;yes;3;2;8;8;8;0;0
262;GP;M;18;R;T;other;mother;1;3;0;no;no;3;1;13;12;12;1;1
263;GP;F;17;U;T;other;mother;1;3;0;no;no;4;4;10;9;9;0;0
264;GP;F;18;U;T;at_home;mother;1;3;0;yes;yes;3;0;9;10;0;0;0
265;GP;M;18;R;A;other;mother;2;2;0;yes;yes;1;13;17;17;17;1;0
266;GP;M;17;U;T;services;mother;1;2;0;yes;yes;5;2;9;9;10;1;1
267;GP;F;18;R;T;teacher;mother;2;2;0;yes;yes;4;8;12;10;11;1;1
268;GP;M;18;U;T;health;father;1;2;0;yes;yes;5;10;10;9;10;1;1
269;GP;F;18;R;T;other;mother;2;2;0;no;yes;3;0;6;0;0;0;0
270;GP;F;19;U;T;other;other;1;2;2;yes;yes;5;15;9;9;9;0;0
271;GP;F;18;U;T;other;father;1;4;0;yes;yes;2;4;15;14;14;1;1
272;GP;F;18;U;T;other;mother;2;2;0;yes;no;3;2;11;11;11;1;1
273;GP;M;17;R;T;at_home;mother;1;2;0;yes;no;1;2;15;14;14;1;1
274;GP;F;17;U;T;at_home;mother;2;2;0;yes;yes;1;2;10;10;10;1;1
275;GP;F;17;U;T;services;mother;2;2;0;yes;yes;5;6;12;12;12;1;1
276;GP;F;18;R;A;other;mother;2;2;0;no;yes;5;75;10;9;9;0;0
277;GP;M;18;U;T;teacher;mother;2;1;0;yes;yes;3;22;9;9;9;0;0
278;GP;F;18;U;T;health;father;1;2;1;no;yes;4;15;9;8;8;0;0
279;GP;M;18;U;T;teacher;mother;2;1;0;yes;yes;1;8;10;11;10;1;1
280;GP;M;17;U;A;services;mother;2;1;0;yes;yes;5;30;8;8;8;0;0
281;GP;M;17;U;A;teacher;mother;1;1;1;no;yes;3;19;11;9;10;0;0
282;GP;F;18;R;T;at_home;mother;2;4;0;yes;no;3;1;12;12;12;1;1
283;GP;F;18;U;T;other;mother;2;2;0;no;yes;4;4;8;9;10;1;1
284;GP;F;17;U;T;other;mother;1;2;0;no;yes;5;4;10;9;11;1;1
285;GP;M;17;U;T;other;father;1;2;0;yes;yes;4;2;12;10;11;1;1
286;GP;F;18;U;T;at_home;mother;1;3;0;yes;yes;2;5;18;18;19;1;0
287;GP;F;17;U;T;services;mother;1;3;0;yes;yes;3;6;13;12;12;1;1
288;GP;M;18;U;T;services;mother;1;3;0;yes;yes;2;6;15;14;14;1;1
289;GP;M;18;U;A;teacher;mother;1;2;0;yes;yes;2;9;15;13;15;1;0
290;GP;M;18;U;T;teacher;mother;1;2;0;yes;yes;5;11;12;11;11;1;1
291;GP;F;17;U;T;health;mother;1;3;0;yes;yes;3;0;15;15;15;1;0
292;GP;F;18;U;T;services;mother;1;2;1;no;yes;5;12;12;12;13;1;1
293;GP;F;17;R;T;services;mother;2;4;0;yes;no;3;6;18;18;18;1;0
294;GP;M;18;R;T;services;mother;2;3;0;yes;yes;4;8;14;13;14;1;1
295;GP;M;17;U;T;health;mother;1;1;0;yes;yes;5;4;14;12;11;1;1
296;GP;F;19;U;T;health;other;2;2;0;yes;yes;2;0;10;9;0;0;0
297;GP;F;18;U;T;other;other;2;2;0;yes;yes;2;10;10;8;8;0;0
298;GP;F;18;U;T;other;father;1;4;0;yes;yes;3;0;14;13;14;1;1
299;GP;M;18;U;T;teacher;mother;1;1;0;yes;yes;1;5;16;15;16;1;0
300;GP;F;18;U;A;health;mother;1;2;0;no;yes;4;14;12;10;11;1;1
301;GP;M;17;U;T;other;father;2;1;0;yes;yes;5;0;11;11;10;1;1
302;GP;F;17;U;T;other;mother;2;3;0;yes;yes;3;0;15;12;14;1;1
303;GP;F;17;U;T;health;father;1;4;0;yes;yes;5;0;17;17;18;1;0
304;GP;M;19;U;T;other;other;1;2;1;no;yes;3;20;15;14;13;0;0
305;GP;F;18;U;T;services;other;1;2;1;yes;yes;3;8;14;12;12;1;1
306;GP;M;20;U;A;services;other;1;1;0;no;no;5;0;17;18;18;1;0
307;GP;M;19;U;T;teacher;other;2;1;1;yes;yes;4;38;8;9;8;0;0
308;GP;M;19;R;T;other;father;1;2;1;no;no;5;0;15;12;12;1;1
309;GP;F;19;U;T;at_home;other;1;2;1;no;yes;3;18;12;10;10;0;0
310;GP;F;19;U;T;services;other;1;2;1;no;no;3;0;9;9;0;0;0
311;GP;F;19;U;T;at_home;other;3;2;0;no;yes;2;20;14;12;13;0;0
312;GP;M;19;U;T;other;other;1;2;1;no;yes;4;3;13;11;11;1;1
313;GP;F;19;U;T;services;other;2;2;1;yes;yes;1;22;13;10;11;0;0
314;GP;F;19;U;T;at_home;other;1;3;2;no;yes;3;14;15;13;13;1;1
315;GP;F;19;R;T;other;other;1;3;1;no;yes;3;40;13;11;11;0;0
316;GP;F;18;U;T;services;mother;2;2;0;yes;yes;1;0;8;8;0;0;0
317;GP;F;18;U;T;other;mother;1;3;0;yes;yes;5;9;9;10;9;0;0
